BRAND,DNLA,SKU_NO,SEQNUM,FEATURE_NAME,FEATURE_DESCRIPTION,FEATURES_RAW,LINE_TYPE
Impact,N,1046816,1,Attributes and Benefits,"Built-in 2.4 GHz wireless receiver with 16 channels and 4 distinct groups of flashes
The optional 16-channel, 4 group radio remote control transmitter gives you wireless control of up to seven lights from distances up to 328'. It allows you to adjust functions like flash power, the modeling lamp, audio beep and slave mode
6-stop power control range from full to 1/32 in 1/10 stop increments
Fast recycling time: 0.2 - 1.5 sec.
A large easily-read LCD display on the rear of the unit gives you a clear indication of chosen settings
Pre-flash Detector System to enable use of a wide range of on-camera flashes
Multiple Modeling Light modes: Proportional, Independent, Off
The soft-start function of the modeling lamp protects the subject's and photographer's eyes, and increase the working life of the lamp
Sturdy, functional and professional aluminum alloy housing
Anti-static, tactile rubberized surface treatment provides comfort and utility
Two kinds of recycling reminder: programmable ready beep function, and modeling lamp visual indicator. The modeling lamp dims during recycling and comes on again when fully recycled
Fan-cooling provides longevity for the head's electronics, flashtube and modeling lamp
Over-heating protection: when the flash reaches its maximum operating temperature it slows recycling time to reduce heat, rather than delay the shoot for a cool-down interval
12.5 Amp fuse shuts the head down if necessary to prevent damage by electrical spikes
Low 5 VDC sync voltage protects your camera's electronics
Power Auto-dump drains excess power from the capacitors when you reduce the output to guaranty accurate exposures
Stand bracket with extra umbrella fitting for larger umbrella shafts
Shifting pan/tilt support allows you to use large, pro-sized accessories
Compatible with reflectors: choose from a wide assortment of light-shapers that use the S-Type mount","<ul><li>Built-in 2.4 GHz wireless receiver with 16 channels and 4 distinct groups of flashes
<li>The optional 16-channel, 4 group radio remote control transmitter gives you wireless control of up to seven lights from distances up to 328'. It allows you to adjust functions like flash power, the modeling lamp, audio beep and slave mode
<li>6-stop power control range from full to 1/32 in 1/10 stop increments
<li>Fast recycling time: 0.2 - 1.5 sec.
<li>A large easily-read LCD display on the rear of the unit gives you a clear indication of chosen settings
<li>Pre-flash Detector System to enable use of a wide range of on-camera flashes
<li>Multiple Modeling Light modes: Proportional, Independent, Off
<li>The soft-start function of the modeling lamp protects the subject's and photographer's eyes, and increase the working life of the lamp
<li>Sturdy, functional and professional aluminum alloy housing
<li>Anti-static, tactile rubberized surface treatment provides comfort and utility
<li>Two kinds of recycling reminder: programmable ready beep function, and modeling lamp visual indicator. The modeling lamp dims during recycling and comes on again when fully recycled
<li>Fan-cooling provides longevity for the head's electronics, flashtube and modeling lamp
<li>Over-heating protection: when the flash reaches its maximum operating temperature it slows recycling time to reduce heat, rather than delay the shoot for a cool-down interval
<li>12.5 Amp fuse shuts the head down if necessary to prevent damage by electrical spikes
<li>Low 5 VDC sync voltage protects your camera's electronics
<li>Power Auto-dump drains excess power from the capacitors when you reduce the output to guaranty accurate exposures
<li>Stand bracket with extra umbrella fitting for larger umbrella shafts
<li>Shifting pan/tilt support allows you to use large, pro-sized accessories
<li>Compatible with reflectors: choose from a wide assortment of light-shapers that use the S-Type mount",DETAIL
Impact,N,1049056,1,Mounts Up to Two Speedlights and Radio Receivers,"The Impact SR-SHOE-D makes it easy to achieve soft, beautiful light with gear you already own. It's equipped with four shoe mounts so it can hold up to two speedlights and radio receivers for optimal power and efficient recycling time.","The Impact SR-SHOE-D makes it easy to achieve soft, beautiful light with gear you already own. It's equipped with four shoe mounts so it can hold up to two speedlights and radio receivers for optimal power and efficient recycling time.",DETAIL
Impact,N,1049056,2,Accommodates Extra Small to Medium Size Softboxes,"Use the SR-SHOE-D to go from harsh, direct lighting to a soft, styled look. Attach extra small to medium size rectangular, square, strip, or octagonal softboxes to control and shape your light","Use the SR-SHOE-D to go from harsh, direct lighting to a soft, styled look. Attach extra small to medium size rectangular, square, strip, or octagonal softboxes to control and shape your light",DETAIL
Impact,N,1049056,3,"360&deg; Rotating, Self-Locking Outer Ring with Labeled Rod Mounts","The SR-SHOE-D is outfitted with a 360&deg; rotating, self-locking outer ring for adjusting and fine-tuning your softbox's orientation on the fly. Labeled rod mounts ensure a no-hassle setup, saving you time and effort so you can start shooting","The SR-SHOE-D is outfitted with a 360&deg; rotating, self-locking outer ring for adjusting and fine-tuning your softbox's orientation on the fly. Labeled rod mounts ensure a no-hassle setup, saving you time and effort so you can start shooting",DETAIL
Impact,N,1049056,4,Dual Bracket System,"The SR-SHOE-D's dual-bracket mounting system makes it easy to manipulate the angles and depth of the speedlights within your softbox to adjust the beam spread. You can attach two flashes and radio receivers or just one flash and receiver, depending on your needs","The SR-SHOE-D's dual-bracket mounting system makes it easy to manipulate the angles and depth of the speedlights within your softbox to adjust the beam spread. You can attach two flashes and radio receivers or just one flash and receiver, depending on your needs",DETAIL
Impact,N,1049056,5,All Metal Construction,Durable all-metal construction insures reliable performance. The SR-SHOE-D's collapsible design makes it practical to take on location,Durable all-metal construction insures reliable performance. The SR-SHOE-D's collapsible design makes it practical to take on location,DETAIL
Impact,N,1049056,6,"5/8"" (16 mm) Mounting Adapter","The universal 5/8"" (16 mm) mounting adapter has sockets for a light stand or boom arm, plus a built-in pivoting stand adapter with a ratcheting handle to adjust the vertical angle","The universal 5/8"" (16 mm) mounting adapter has sockets for a light stand or boom arm, plus a built-in pivoting stand adapter with a ratcheting handle to adjust the vertical angle",DETAIL
Impact,N,1080466,1,Benefits and Attributes,"Ultra-fast 0.4 sec. recycle time at full power means you'll never miss a shot while waiting for your light to recycle
Speedy 1/5,000 sec. flash duration and 10 fps continuous shooting speed make this monolight great for event work as well as high-speed photography
Flash power output is up to 400W/s, with precise output control in 0.1 stop increments over a 6 stop range
Built-in 8mm umbrella mount and Bowens S-type bayonet mount allow you to attach light-modifiers like umbrellas, softboxes, and beauty dishes to customize and shape your light
Fan-cooling system, heat sinks, and speed-dedicated internal components prevent overheating when shooting at high speeds","<li>Ultra-fast 0.4 sec. recycle time at full power means you'll never miss a shot while waiting for your light to recycle
<li>Speedy 1/5,000 sec. flash duration and 10 fps continuous shooting speed make this monolight great for event work as well as high-speed photography
<li>Flash power output is up to 400W/s, with precise output control in 0.1 stop increments over a 6 stop range
<li>Built-in 8mm umbrella mount and Bowens S-type bayonet mount allow you to attach light-modifiers like umbrellas, softboxes, and beauty dishes to customize and shape your light
<li>Fan-cooling system, heat sinks, and speed-dedicated internal components prevent overheating when shooting at high speeds",DETAIL
Impact,N,1085738,1,Attributes,"Fits rectangular, square, strip, or octagonal softboxes
Labeled flex rod holes for easy softbox assembly
360-Degree rotation
Self-locking outer ring
All-metal construction
3/8"" Threaded accessory holes","<li>Fits rectangular, square, strip, or octagonal softboxes
<li>Labeled flex rod holes for easy softbox assembly
<li>360-Degree rotation
<li>Self-locking outer ring
<li>All-metal construction
<li>3/8"" Threaded accessory holes",DETAIL
Impact,N,1088993,1,Beauty Dish Light Quality,"Impact's Folding Beauty Dish provides soft but crisp light ideal for groups, events or portrait photography","Impact's Folding Beauty Dish provides soft but crisp light ideal for groups, events or portrait photography",DETAIL
Impact,N,1088993,2,Compatibility,"The beauty dish is compatible with many brands of monolight strobes, studio strobe heads, and monolight-style LED lights, and other dedicated speed rings are also available","The beauty dish is compatible with many brands of monolight strobes, studio strobe heads, and monolight-style LED lights, and other dedicated speed rings are also available",DETAIL
Impact,N,1088993,3,Adaptable,"If a beauty dish adapter is needed, one is easily installed, as this dish is designed so that no tools are needed for fast and simple operation","If a beauty dish adapter is needed, one is easily installed, as this dish is designed so that no tools are needed for fast and simple operation",DETAIL
Impact,N,1088993,4,Portrait and Event Photography,"Ideal for shooting portraits or events such as weddings, proms, or corporate events on location","Ideal for shooting portraits or events such as weddings, proms, or corporate events on location",DETAIL
Impact,N,1088993,5,Fast Setup and Breakdown,The beauty dish comes fully assembled with an integrated fiberglass frame that locks firmly into position in seconds and folds quickly to a compact size after the shoot,The beauty dish comes fully assembled with an integrated fiberglass frame that locks firmly into position in seconds and folds quickly to a compact size after the shoot,DETAIL
Impact,N,1088993,6,Lightweight,The light weight and compact size make transport effortless,The light weight and compact size make transport effortless,DETAIL
Impact,N,1088993,7,Fiberglass Frame,The integrated and durable fiberglass frame and fabric construction help to prevent the folding beauty dish from losing its shape; even after bumps or impacts,The integrated and durable fiberglass frame and fabric construction help to prevent the folding beauty dish from losing its shape; even after bumps or impacts,DETAIL
Impact,N,1088993,8,Front Diffuser,"For a softer lighting effect, the removable front diffuser is easily attached to the outer edge of the beauty dish","For a softer lighting effect, the removable front diffuser is easily attached to the outer edge of the beauty dish",DETAIL
Impact,N,1088993,9,Carrying Case,The convenient fabric carrying case protects the beauty dish from dust and moisture during transport,The convenient fabric carrying case protects the beauty dish from dust and moisture during transport,DETAIL
Impact,N,1088994,1,Beauty Dish Light Quality,"Impact's Folding Beauty Dish provides soft but crisp light ideal for groups, events or portrait photography","Impact's Folding Beauty Dish provides soft but crisp light ideal for groups, events or portrait photography",DETAIL
Impact,N,1088994,2,Compatibility,"The beauty dish is compatible with many brands of monolight strobes, studio strobe heads, and monolight-style LED lights, and other dedicated speed rings are also available","The beauty dish is compatible with many brands of monolight strobes, studio strobe heads, and monolight-style LED lights, and other dedicated speed rings are also available",DETAIL
Impact,N,1088994,3,Adaptable,"If a beauty dish adapter is needed, one is easily installed, as this dish is designed so that no tools are needed for fast and simple operation","If a beauty dish adapter is needed, one is easily installed, as this dish is designed so that no tools are needed for fast and simple operation",DETAIL
Impact,N,1088994,4,Portrait and Event Photography,"Ideal for shooting portraits or events such as weddings, proms, or corporate events on location","Ideal for shooting portraits or events such as weddings, proms, or corporate events on location",DETAIL
Impact,N,1088994,5,Fast Setup and Breakdown,The beauty dish comes fully assembled with an integrated fiberglass frame that locks firmly into position in seconds and folds quickly to a compact size after the shoot,The beauty dish comes fully assembled with an integrated fiberglass frame that locks firmly into position in seconds and folds quickly to a compact size after the shoot,DETAIL
Impact,N,1088994,6,Lightweight,The light weight and compact size make transport effortless,The light weight and compact size make transport effortless,DETAIL
Impact,N,1088994,7,Fiberglass Frame,The integrated and durable fiberglass frame and fabric construction help to prevent the folding beauty dish from losing its shape; even after bumps or impacts,The integrated and durable fiberglass frame and fabric construction help to prevent the folding beauty dish from losing its shape; even after bumps or impacts,DETAIL
Impact,N,1088994,8,Front Diffuser,"For a softer lighting effect, the removable front diffuser is easily attached to the outer edge of the beauty dish","For a softer lighting effect, the removable front diffuser is easily attached to the outer edge of the beauty dish",DETAIL
Impact,N,1088994,9,Carrying Case,The convenient fabric carrying case protects the beauty dish from dust and moisture during transport,The convenient fabric carrying case protects the beauty dish from dust and moisture during transport,DETAIL
Impact,N,1088995,1,Beauty Dish Light Quality,"Impact's Folding Beauty Dish provides soft but crisp light ideal for groups, events or portrait photography","Impact's Folding Beauty Dish provides soft but crisp light ideal for groups, events or portrait photography",DETAIL
Impact,N,1088995,2,Compatibility,"The beauty dish is compatible with many brands of monolight strobes, studio strobe heads, and monolight-style LED lights, and other dedicated speed rings are also available","The beauty dish is compatible with many brands of monolight strobes, studio strobe heads, and monolight-style LED lights, and other dedicated speed rings are also available",DETAIL
Impact,N,1088995,3,Adaptable,"If a beauty dish adapter is needed, one is easily installed, as this dish is designed so that no tools are needed for fast and simple operation","If a beauty dish adapter is needed, one is easily installed, as this dish is designed so that no tools are needed for fast and simple operation",DETAIL
Impact,N,1088995,4,Portrait and Event Photography,"Ideal for shooting portraits or events such as weddings, proms, or corporate events on location","Ideal for shooting portraits or events such as weddings, proms, or corporate events on location",DETAIL
Impact,N,1088995,5,Fast Setup and Breakdown,The beauty dish comes fully assembled with an integrated fiberglass frame that locks firmly into position in seconds and folds quickly to a compact size after the shoot,The beauty dish comes fully assembled with an integrated fiberglass frame that locks firmly into position in seconds and folds quickly to a compact size after the shoot,DETAIL
Impact,N,1088995,6,Lightweight,The light weight and compact size make transport effortless,The light weight and compact size make transport effortless,DETAIL
Impact,N,1088995,7,Fiberglass Frame,The integrated and durable fiberglass frame and fabric construction help to prevent the folding beauty dish from losing its shape; even after bumps or impacts,The integrated and durable fiberglass frame and fabric construction help to prevent the folding beauty dish from losing its shape; even after bumps or impacts,DETAIL
Impact,N,1088995,8,Front Diffuser,"For a softer lighting effect, the removable front diffuser is easily attached to the outer edge of the beauty dish","For a softer lighting effect, the removable front diffuser is easily attached to the outer edge of the beauty dish",DETAIL
Impact,N,1088995,9,Carrying Case,The convenient fabric carrying case protects the beauty dish from dust and moisture during transport,The convenient fabric carrying case protects the beauty dish from dust and moisture during transport,DETAIL
Impact,N,1088996,1,Beauty Dish Light Quality,"Impact's Folding Beauty Dish provides soft but crisp light ideal for groups, events or portrait photography","Impact's Folding Beauty Dish provides soft but crisp light ideal for groups, events or portrait photography",DETAIL
Impact,N,1088996,2,Compatibility,"The beauty dish is compatible with many brands of monolight strobes, studio strobe heads, and monolight-style LED lights, and other dedicated speed rings are also available","The beauty dish is compatible with many brands of monolight strobes, studio strobe heads, and monolight-style LED lights, and other dedicated speed rings are also available",DETAIL
Impact,N,1088996,3,Adaptable,"If a beauty dish adapter is needed, one is easily installed, as this dish is designed so that no tools are needed for fast and simple operation","If a beauty dish adapter is needed, one is easily installed, as this dish is designed so that no tools are needed for fast and simple operation",DETAIL
Impact,N,1088996,4,Portrait and Event Photography,"Ideal for shooting portraits or events such as weddings, proms, or corporate events on location","Ideal for shooting portraits or events such as weddings, proms, or corporate events on location",DETAIL
Impact,N,1088996,5,Fast Setup and Breakdown,The beauty dish comes fully assembled with an integrated fiberglass frame that locks firmly into position in seconds and folds quickly to a compact size after the shoot,The beauty dish comes fully assembled with an integrated fiberglass frame that locks firmly into position in seconds and folds quickly to a compact size after the shoot,DETAIL
Impact,N,1088996,6,Lightweight,The light weight and compact size make transport effortless,The light weight and compact size make transport effortless,DETAIL
Impact,N,1088996,7,Fiberglass Frame,The integrated and durable fiberglass frame and fabric construction help to prevent the folding beauty dish from losing its shape; even after bumps or impacts,The integrated and durable fiberglass frame and fabric construction help to prevent the folding beauty dish from losing its shape; even after bumps or impacts,DETAIL
Impact,N,1088996,8,Front Diffuser,"For a softer lighting effect, the removable front diffuser is easily attached to the outer edge of the beauty dish","For a softer lighting effect, the removable front diffuser is easily attached to the outer edge of the beauty dish",DETAIL
Impact,N,1088996,9,Carrying Case,The convenient fabric carrying case protects the beauty dish from dust and moisture during transport,The convenient fabric carrying case protects the beauty dish from dust and moisture during transport,DETAIL
Impact,N,1088997,1,Beauty Dish Light Quality,"Impact's Folding Beauty Dish provides soft but crisp light ideal for groups, events or portrait photography","Impact's Folding Beauty Dish provides soft but crisp light ideal for groups, events or portrait photography",DETAIL
Impact,N,1088997,2,Compatibility,"The beauty dish is compatible with many brands of monolight strobes, studio strobe heads, and monolight-style LED lights, and other dedicated speed rings are also available","The beauty dish is compatible with many brands of monolight strobes, studio strobe heads, and monolight-style LED lights, and other dedicated speed rings are also available",DETAIL
Impact,N,1088997,3,Adaptable,"If a beauty dish adapter is needed, one is easily installed, as this dish is designed so that no tools are needed for fast and simple operation","If a beauty dish adapter is needed, one is easily installed, as this dish is designed so that no tools are needed for fast and simple operation",DETAIL
Impact,N,1088997,4,Portrait and Event Photography,"Ideal for shooting portraits or events such as weddings, proms, or corporate events on location","Ideal for shooting portraits or events such as weddings, proms, or corporate events on location",DETAIL
Impact,N,1088997,5,Fast Setup and Breakdown,The beauty dish comes fully assembled with an integrated fiberglass frame that locks firmly into position in seconds and folds quickly to a compact size after the shoot,The beauty dish comes fully assembled with an integrated fiberglass frame that locks firmly into position in seconds and folds quickly to a compact size after the shoot,DETAIL
Impact,N,1088997,6,Lightweight,The light weight and compact size make transport effortless,The light weight and compact size make transport effortless,DETAIL
Impact,N,1088997,7,Fiberglass Frame,The integrated and durable fiberglass frame and fabric construction help to prevent the folding beauty dish from losing its shape; even after bumps or impacts,The integrated and durable fiberglass frame and fabric construction help to prevent the folding beauty dish from losing its shape; even after bumps or impacts,DETAIL
Impact,N,1088997,8,Front Diffuser,"For a softer lighting effect, the removable front diffuser is easily attached to the outer edge of the beauty dish","For a softer lighting effect, the removable front diffuser is easily attached to the outer edge of the beauty dish",DETAIL
Impact,N,1088997,9,Carrying Case,The convenient fabric carrying case protects the beauty dish from dust and moisture during transport,The convenient fabric carrying case protects the beauty dish from dust and moisture during transport,DETAIL
Impact,N,1088998,1,Beauty Dish Light Quality,"Impact's Folding Beauty Dish provides soft but crisp light ideal for groups, events or portrait photography","Impact's Folding Beauty Dish provides soft but crisp light ideal for groups, events or portrait photography",DETAIL
Impact,N,1088998,2,Compatibility,"The beauty dish is compatible with many brands of monolight strobes, studio strobe heads, and monolight-style LED lights, and other dedicated speed rings are also available","The beauty dish is compatible with many brands of monolight strobes, studio strobe heads, and monolight-style LED lights, and other dedicated speed rings are also available",DETAIL
Impact,N,1088998,3,Adaptable,"If a beauty dish adapter is needed, one is easily installed, as this dish is designed so that no tools are needed for fast and simple operation","If a beauty dish adapter is needed, one is easily installed, as this dish is designed so that no tools are needed for fast and simple operation",DETAIL
Impact,N,1088998,4,Portrait and Event Photography,"Ideal for shooting portraits or events such as weddings, proms, or corporate events on location","Ideal for shooting portraits or events such as weddings, proms, or corporate events on location",DETAIL
Impact,N,1088998,5,Fast Setup and Breakdown,The beauty dish comes fully assembled with an integrated fiberglass frame that locks firmly into position in seconds and folds quickly to a compact size after the shoot,The beauty dish comes fully assembled with an integrated fiberglass frame that locks firmly into position in seconds and folds quickly to a compact size after the shoot,DETAIL
Impact,N,1088998,6,Lightweight,The light weight and compact size make transport effortless,The light weight and compact size make transport effortless,DETAIL
Impact,N,1088998,7,Fiberglass Frame,The integrated and durable fiberglass frame and fabric construction help to prevent the folding beauty dish from losing its shape; even after bumps or impacts,The integrated and durable fiberglass frame and fabric construction help to prevent the folding beauty dish from losing its shape; even after bumps or impacts,DETAIL
Impact,N,1088998,8,Front Diffuser,"For a softer lighting effect, the removable front diffuser is easily attached to the outer edge of the beauty dish","For a softer lighting effect, the removable front diffuser is easily attached to the outer edge of the beauty dish",DETAIL
Impact,N,1088998,9,Carrying Case,The convenient fabric carrying case protects the beauty dish from dust and moisture during transport,The convenient fabric carrying case protects the beauty dish from dust and moisture during transport,DETAIL
Impact,N,1119713,1,Low-Angle Lighting Applications,Mount lighting fixtures and accessories at floor or table level,Mount lighting fixtures and accessories at floor or table level,DETAIL
Impact,N,1119713,2,"5/8"" Baby Receiver","Allows for mounting a 5/8"" (16 mm) spigot, pole, or light stand riser","Allows for mounting a 5/8"" (16 mm) spigot, pole, or light stand riser",DETAIL
Impact,N,1119713,3,Sturdy,All-steel construction offers durable support for lighting fixtures or accessories,All-steel construction offers durable support for lighting fixtures or accessories,DETAIL
Impact,N,1119713,4,Stability,The tri-leg base provides stability under recommended loads,The tri-leg base provides stability under recommended loads,DETAIL
Impact,N,1123822,1,Weather Resistant,A heavy-duty 600-D nylon shell shields your lighting equipment from moisture and dust,A heavy-duty 600-D nylon shell shields your lighting equipment from moisture and dust,DETAIL
Impact,N,1123822,2,Reinforced Wall Construction,Sides of the bag are reinforced with heavy-duty plastic panels to ensure the protection of your gear from impacts encountered during transport,Sides of the bag are reinforced with heavy-duty plastic panels to ensure the protection of your gear from impacts encountered during transport,DETAIL
Impact,N,1123822,3,Double Zipper,"The double zipper closure provides easy access to your gear, and features loops that accept a lock (sold separately)","The double zipper closure provides easy access to your gear, and features loops that accept a lock (sold separately)",DETAIL
Impact,N,1123822,4,Mesh Storage Compartment in Lid,The zippered mesh storage compartment in the lid is ideal for securing and organizing cables and small accessories,The zippered mesh storage compartment in the lid is ideal for securing and organizing cables and small accessories,DETAIL
Impact,N,1123822,5,Shoulder Strap,"The removable, easily adjustable shoulder strap includes a cushioned shoulder pad for comfort","The removable, easily adjustable shoulder strap includes a cushioned shoulder pad for comfort",DETAIL
Impact,N,1123822,6,Side Handles,Heavy-duty rubber grip side handles add lifting and carrying options,Heavy-duty rubber grip side handles add lifting and carrying options,DETAIL
Impact,N,1123822,7,ID Card Pocket,The ID card pocket makes it easy to identify your bag in case it's misplaced,The ID card pocket makes it easy to identify your bag in case it's misplaced,DETAIL
Impact,N,1123822,8,Adjustable Dividers,The four internal dividers can be configured to your needs and will keep your gear secure by preventing contact that could result in scratches,The four internal dividers can be configured to your needs and will keep your gear secure by preventing contact that could result in scratches,DETAIL
Impact,N,1123822,9,One-Time Setup,"The padded L-shaped side panels use multiple strong touch-fastener strips on the interior walls of the bag to form a rigid rectangular shape under the weather-resistant outer shell. Once the panels are secured in place, no further setup for future use is needed.","The padded L-shaped side panels use multiple strong touch-fastener strips on the interior walls of the bag to form a rigid rectangular shape under the weather-resistant outer shell. Once the panels are secured in place, no further setup for future use is needed.",DETAIL
Impact,N,1123822,10,Rubber Feet,"For added security, non-slip rubber feet are attached to the bottom of the bag","For added security, non-slip rubber feet are attached to the bottom of the bag",DETAIL
Impact,N,1130419,1,Benefits,"3.5mm male to hot shoe sync cord for use of flash without input for radio receiver On the bottom of the hot shoe is a cold shoe with a 1/4""-20 threaded socket for bracket or stand mounting Locking mechanism allows safe and secure mounting of flash 12"" Cable provides comfortable working distance when setting up flash Hot shoe is compatible with Canon, Nikon, Panasonic, Fujifilm, Samsung, and Olympus flash units","<li>3.5mm male to hot shoe sync cord for use of flash without input for radio receiver <li>On the bottom of the hot shoe is a cold shoe with a 1/4""-20 threaded socket for bracket or stand mounting <li>Locking mechanism allows safe and secure mounting of flash <li>12"" Cable provides comfortable working distance when setting up flash <li>Hot shoe is compatible with Canon, Nikon, Panasonic, Fujifilm, Samsung, and Olympus flash units",DETAIL
Impact,N,1130423,1,Benefits,"PC male to hot shoe sync cord for use of flash without input for radio receiver On the bottom of the hot shoe is a cold shoe with a 1/4""-20 threaded socket for bracket or stand mounting Locking mechanism allows safe and secure mounting of flash 12"" Cable provides comfortable working distance when setting up flash Hot shoe is compatible with Canon, Nikon, Panasonic, Fujifilm, Samsung, and Olympus flash units","<li>PC male to hot shoe sync cord for use of flash without input for radio receiver <li>On the bottom of the hot shoe is a cold shoe with a 1/4""-20 threaded socket for bracket or stand mounting <li>Locking mechanism allows safe and secure mounting of flash <li>12"" Cable provides comfortable working distance when setting up flash <li>Hot shoe is compatible with Canon, Nikon, Panasonic, Fujifilm, Samsung, and Olympus flash units",DETAIL
Impact,N,1131170,1,"5/8"" Stud End","The spigot is designed with a 5/8"" (16 mm) baby pin stud for mounting lighting accessories with 5/8"" baby pin receivers","The spigot is designed with a 5/8"" (16 mm) baby pin stud for mounting lighting accessories with 5/8"" baby pin receivers",DETAIL
Impact,N,1131170,2,"1/4""-20 Male Threaded Stud End","The reverse end is designed with a 1/4'-20 threaded stud - ideal for mounting cameras or accessories with a 1/4""-20 female threaded tap or socket","The reverse end is designed with a 1/4'-20 threaded stud - ideal for mounting cameras or accessories with a 1/4""-20 female threaded tap or socket",DETAIL
Impact,N,1131170,3,Durable,All-brass construction,All-brass construction,DETAIL
Impact,N,1150065,1,Benefits,"Tube diameter range: 8, 16, 19, 28mm

Oversized T-handle for quick, smooth twist locking 
Works with Impact, Sunbounce, or Skylite panel reflector crossbars
Non-slip locking teeth
5/8"" (16mm) male receiver stand mount","<li>Tube diameter range: 8, 16, 19, 28mm

<li>Oversized T-handle for quick, smooth twist locking 
<li>Works with Impact, Sunbounce, or Skylite panel reflector crossbars
<li>Non-slip locking teeth
<li>5/8"" (16mm) male receiver stand mount",DETAIL
Impact,N,1154354,1,Adjustable Height and Width,The light stands rise to 12.5' for plenty of headroom. The telescoping crossbar extends to 12.9',The light stands rise to 12.5' for plenty of headroom. The telescoping crossbar extends to 12.9',DETAIL
Impact,N,1154354,2,Light Stands,"The heavy-duty light stands have reversible 3/8&quot; and 1/4&quot; mounting posts that can positioned horizontally or vertically, capable of holding a variety of lighting fixtures and accessories for versatile studio duties","The heavy-duty light stands have reversible 3/8&quot; and 1/4&quot; mounting posts that can positioned horizontally or vertically, capable of holding a variety of lighting fixtures and accessories for versatile studio duties",DETAIL
Impact,N,1154354,3,Carry Bag,"The included Deluxe Carry Bag accommodates the stands, crossbar, and hardware during storage or transport","The included Deluxe Carry Bag accommodates the stands, crossbar, and hardware during storage or transport",DETAIL
Impact,N,1161027,1,Saddle-Style Sandbag,"The two-winged saddle sandbag is designed to conform to studio equipment such as light stands, tripods, backgrounds, or other equipment that needs support and stabilization","The two-winged saddle sandbag is designed to conform to studio equipment such as light stands, tripods, backgrounds, or other equipment that needs support and stabilization",DETAIL
Impact,N,1161027,2,Sturdy Handles,Strong top and bottom handles made with nylon webbing offer options for providing a counterweight to boom arms and make transporting the sandbag easy,Strong top and bottom handles made with nylon webbing offer options for providing a counterweight to boom arms and make transporting the sandbag easy,DETAIL
Impact,N,1161027,3,Weather and Water-Resistant,The thick Cordura fabric stands up to the elements and keeps the contents dry,The thick Cordura fabric stands up to the elements and keeps the contents dry,DETAIL
Impact,N,1161027,4,Double-Zipper,The double-zipper design ensures that the contents of the bag do not spill out,The double-zipper design ensures that the contents of the bag do not spill out,DETAIL
Impact,N,1161028,1,Saddle-Style Sandbag,"The two-winged saddle sandbag is designed to conform to studio equipment such as light stands, tripods, backgrounds, or other equipment that needs support and stabilization","The two-winged saddle sandbag is designed to conform to studio equipment such as light stands, tripods, backgrounds, or other equipment that needs support and stabilization",DETAIL
Impact,N,1161028,2,Sturdy Handles,Strong top and bottom handles made with nylon webbing offer options for providing a counterweight to boom arms and make transporting the sandbag easy,Strong top and bottom handles made with nylon webbing offer options for providing a counterweight to boom arms and make transporting the sandbag easy,DETAIL
Impact,N,1161028,3,Weather and Water-Resistant,The thick Cordura fabric stands up to the elements and keeps the contents dry,The thick Cordura fabric stands up to the elements and keeps the contents dry,DETAIL
Impact,N,1161028,4,Double-Zipper,The double-zipper design ensures that the contents of the bag do not spill out,The double-zipper design ensures that the contents of the bag do not spill out,DETAIL
Impact,N,1161029,1,Saddle-Style Sandbag,"The two-winged saddle sandbag is designed to conform to studio equipment such as light stands, tripods, backgrounds, or other equipment that needs support and stabilization","The two-winged saddle sandbag is designed to conform to studio equipment such as light stands, tripods, backgrounds, or other equipment that needs support and stabilization",DETAIL
Impact,N,1161029,2,Sturdy Handles,Strong top and bottom handles made with nylon webbing offer options for providing a counterweight to boom arms and make transporting the sandbag easy,Strong top and bottom handles made with nylon webbing offer options for providing a counterweight to boom arms and make transporting the sandbag easy,DETAIL
Impact,N,1161029,3,Weather and Water-Resistant,The thick Cordura fabric stands up to the elements and keeps the contents dry,The thick Cordura fabric stands up to the elements and keeps the contents dry,DETAIL
Impact,N,1161029,4,Double-Zipper,The double-zipper design ensures that the contents of the bag do not spill out,The double-zipper design ensures that the contents of the bag do not spill out,DETAIL
Impact,N,1161030,1,Saddle-Style Sandbag,"The two-winged saddle sandbag is designed to conform to studio equipment such as light stands, tripods, backgrounds, or other equipment that needs support and stabilization","The two-winged saddle sandbag is designed to conform to studio equipment such as light stands, tripods, backgrounds, or other equipment that needs support and stabilization",DETAIL
Impact,N,1161030,2,Sturdy Handles,Strong top and bottom handles made with nylon webbing offer options for providing a counterweight to boom arms and make transporting the sandbag easy,Strong top and bottom handles made with nylon webbing offer options for providing a counterweight to boom arms and make transporting the sandbag easy,DETAIL
Impact,N,1161030,3,Weather and Water-Resistant,The thick Cordura fabric stands up to the elements and keeps the contents dry,The thick Cordura fabric stands up to the elements and keeps the contents dry,DETAIL
Impact,N,1161030,4,Double-Zipper,The double-zipper design ensures that the contents of the bag do not spill out,The double-zipper design ensures that the contents of the bag do not spill out,DETAIL
Impact,N,1161033,1,Saddle-Style Sandbag,"The two-winged saddle sandbag is designed to conform to studio equipment such as light stands, tripods, backgrounds, or other equipment that needs support and stabilization","The two-winged saddle sandbag is designed to conform to studio equipment such as light stands, tripods, backgrounds, or other equipment that needs support and stabilization",DETAIL
